County_County,richard_nixon_republican_num,richard_nixon_republican_pct,hubert_humphrey_democratic_num,hubert_humphrey_democratic_pct,george_wallace_american_independent_num,george_wallace_american_independent_pct,margin_num,margin_pct,total_votes_cast_total_votes_cast,Rank,FIPS
"Adair County, Missouri",4624,58.82%,2645,33.65%,592,7.53%,1979,25.17%,7861,RD,29001
"Andrew County, Missouri",3398,58.97%,2005,34.80%,359,6.23%,1393,24.17%,5762,RD,29003
"Atchison County, Missouri",2206,51.36%,1752,40.79%,337,7.85%,454,10.57%,4295,RD,29005
"Audrain County, Missouri",5005,46.24%,4806,44.41%,1012,9.35%,199,1.83%,10823,RD,29007
"Barry County, Missouri",5537,57.12%,3398,35.06%,758,7.82%,2139,22.06%,9693,RD,29009
"Barton County, Missouri",2928,55.68%,1832,34.84%,499,9.49%,1096,20.84%,5259,RD,29011
"Bates County, Missouri",4087,49.49%,3370,40.81%,801,9.70%,717,8.68%,8258,RD,29013
"Benton County, Missouri",2899,61.13%,1345,28.36%,498,10.50%,1554,32.77%,4742,RD,29015
"Bollinger County, Missouri",2283,50.08%,1693,37.14%,583,12.79%,590,12.94%,4559,RD,29017
"Boone County, Missouri",11917,46.36%,11771,45.80%,2015,7.84%,146,0.56%,25703,RD,29019
"Buchanan County, Missouri",16101,46.38%,15860,45.69%,2752,7.93%,241,0.69%,34713,RD,29021
"Butler County, Missouri",6326,46.98%,4379,32.52%,2759,20.49%,1947,14.46%,13464,RD,29023
"Caldwell County, Missouri",2631,57.81%,1490,32.74%,430,9.45%,1141,25.07%,4551,RD,29025
"Callaway County, Missouri",4277,46.03%,3738,40.23%,1276,13.73%,539,5.80%,9291,RD,29027
"Camden County, Missouri",3500,61.00%,1605,27.97%,633,11.03%,1895,33.03%,5738,RD,29029
"Cape Girardeau County, Missouri",10298,53.34%,6656,34.48%,2351,12.18%,3642,18.86%,19305,RD,29031
"Carroll County, Missouri",3680,54.13%,2473,36.38%,645,9.49%,1207,17.75%,6798,RD,29033
"Carter County, Missouri",861,45.60%,738,39.09%,289,15.31%,123,6.51%,1888,RD,29035
"Cass County, Missouri",5271,45.14%,4468,38.26%,1938,16.60%,803,6.88%,11677,RD,29037
"Cedar County, Missouri",2940,64.08%,1218,26.55%,430,9.37%,1722,37.53%,4588,RD,29039
"Chariton County, Missouri",2404,45.50%,2371,44.87%,509,9.63%,33,0.63%,5284,RD,29041
"Christian County, Missouri",4019,64.43%,1586,25.42%,633,10.15%,2433,39.01%,6238,RD,29043
