FIPS,County,State,County_State
29001,Adair County,Missouri,"Adair County, Missouri"
29003,Andrew County,Missouri,"Andrew County, Missouri"
29005,Atchison County,Missouri,"Atchison County, Missouri"
29007,Audrain County,Missouri,"Audrain County, Missouri"
29009,Barry County,Missouri,"Barry County, Missouri"
29011,Barton County,Missouri,"Barton County, Missouri"
29013,Bates County,Missouri,"Bates County, Missouri"
29015,Benton County,Missouri,"Benton County, Missouri"
29017,Bollinger County,Missouri,"Bollinger County, Missouri"
29019,Boone County,Missouri,"Boone County, Missouri"
29021,Buchanan County,Missouri,"Buchanan County, Missouri"
29023,Butler County,Missouri,"Butler County, Missouri"
29025,Caldwell County,Missouri,"Caldwell County, Missouri"
29027,Callaway County,Missouri,"Callaway County, Missouri"
29029,Camden County,Missouri,"Camden County, Missouri"
29031,Cape Girardeau County,Missouri,"Cape Girardeau County, Missouri"
29033,Carroll County,Missouri,"Carroll County, Missouri"
29035,Carter County,Missouri,"Carter County, Missouri"
29037,Cass County,Missouri,"Cass County, Missouri"
29039,Cedar County,Missouri,"Cedar County, Missouri"
29041,Chariton County,Missouri,"Chariton County, Missouri"
29043,Christian County,Missouri,"Christian County, Missouri"
29045,Clark County,Missouri,"Clark County, Missouri"
29047,Clay County,Missouri,"Clay County, Missouri"
29049,Clinton County,Missouri,"Clinton County, Missouri"
29051,Cole County,Missouri,"Cole County, Missouri"
29053,Cooper County,Missouri,"Cooper County, Missouri"
29055,Crawford County,Missouri,"Crawford County, Missouri"
29057,Dade County,Missouri,"Dade County, Missouri"
29059,Dallas County,Missouri,"Dallas County, Missouri"
29061,Daviess County,Missouri,"Daviess County, Missouri"
29063,DeKalb County,Missouri,"DeKalb County, Missouri"
29065,Dent County,Missouri,"Dent County, Missouri"
29067,Douglas County,Missouri,"Douglas County, Missouri"
29069,Dunklin County,Missouri,"Dunklin County, Missouri"
29071,Franklin County,Missouri,"Franklin County, Missouri"
29073,Gasconade County,Missouri,"Gasconade County, Missouri"
29075,Gentry County,Missouri,"Gentry County, Missouri"
29077,Greene County,Missouri,"Greene County, Missouri"
